Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender,Month,Trip Week
1437,2020-04-01 01:06:20.630,2020-04-01 01:30:17.968,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,42314,Customer,2002,2,April,Wednesday
264,2020-04-01 05:02:42.057,2020-04-01 05:07:06.126,3207,Oakland Ave,40.7376037,-74.05247829999999,3195,Sip Ave,40.73089709786179,-74.06391263008119,42146,Subscriber,1963,2,April,Wednesday
254,2020-04-01 06:20:28.119,2020-04-01 06:24:42.138,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,3195,Sip Ave,40.73089709786179,-74.06391263008119,42255,Subscriber,1981,1,April,Wednesday
429,2020-04-01 06:33:30.517,2020-04-01 06:40:40.199,3195,Sip Ave,40.73089709786179,-74.06391263008119,3679,Bergen Ave,40.72210378668603,-74.07145500183104,42529,Subscriber,1964,1,April,Wednesday
805,2020-04-01 06:38:32.922,2020-04-01 06:51:58.205,3193,Lincoln Park,40.7246050998869,-74.07840594649316,3195,Sip Ave,40.73089709786179,-74.06391263008119,42362,Subscriber,1965,1,April,Wednesday
317,2020-04-01 06:43:44.530,2020-04-01 06:49:01.834,3211,Newark Ave,40.72152515,-74.046304543,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42636,Subscriber,1956,1,April,Wednesday
238,2020-04-01 06:43:52.216,2020-04-01 06:47:51.045,3267,Morris Canal,40.7124188237569,-74.03852552175522,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42336,Subscriber,1967,1,April,Wednesday
360,2020-04-01 06:51:07.845,2020-04-01 06:57:08.337,3207,Oakland Ave,40.7376037,-74.05247829999999,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606,42531,Subscriber,1982,1,April,Wednesday
79,2020-04-01 07:00:01.682,2020-04-01 07:01:21.391,3211,Newark Ave,40.72152515,-74.046304543,3186,Grove St PATH,40.71958611647166,-74.0431174635887,27808,Subscriber,1993,1,April,Wednesday
523,2020-04-01 07:00:59.139,2020-04-01 07:09:42.269,3184,Paulus Hook,40.7141454,-74.0335519,3202,Newport PATH,40.7272235,-74.03375890000001,42499,Subscriber,1973,1,April,Wednesday
2118,2020-04-01 07:03:01.276,2020-04-01 07:38:19.604,3267,Morris Canal,40.7124188237569,-74.03852552175522,3267,Morris Canal,40.7124188237569,-74.03852552175522,42107,Subscriber,1959,1,April,Wednesday
283,2020-04-01 07:08:35.376,2020-04-01 07:13:18.954,3203,Hamilton Park,40.727595965999996,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.0431174635887,40910,Subscriber,1970,2,April,Wednesday
250,2020-04-01 07:17:10.884,2020-04-01 07:21:21.778,3195,Sip Ave,40.73089709786179,-74.06391263008119,3679,Bergen Ave,40.72210378668603,-74.07145500183104,42398,Subscriber,1964,1,April,Wednesday
415,2020-04-01 07:20:26.419,2020-04-01 07:27:21.664,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42276,Subscriber,1979,1,April,Wednesday
781,2020-04-01 07:30:37.202,2020-04-01 07:43:38.360,3195,Sip Ave,40.73089709786179,-74.06391263008119,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42255,Subscriber,1988,1,April,Wednesday
